attribute_category,attribute_data_type,attribute_field_description,attribute_filterable,attribute_name,attribute_repeated,attribute_selectable,attribute_selectable_with,attribute_sortable,attribute_type_url
ATTRIBUTE,RESOURCE_NAME,<td>Immutable. The ad group criterion that this ad parameter belongs to.</td>,True,ad_parameter.ad_group_criterion,False,True,,False,N/A
ATTRIBUTE,STRING,"<td>Numeric value to insert into the ad text. The following restrictions apply: - Can use comma or period as a separator, with an optional period or comma (respectively) for fractional values. For example, 1,000,000.00 and 2.000.000,10 are valid. - Can be prepended or appended with a currency symbol. For example, $99.99 is valid. - Can be prepended or appended with a currency code. For example, 99.99USD and EUR200 are valid. - Can use '%'. For example, 1.0% and 1,0% are valid. - Can use plus or minus. For example, -10.99 and 25+ are valid. - Can use '/' between two numbers. For example 4/1 and 0.95/0.45 are valid.</td>",True,ad_parameter.insertion_text,False,True,,True,N/A
ATTRIBUTE,INT64,<td>Immutable. The unique index of this ad parameter. Must be either 1 or 2.</td>,True,ad_parameter.parameter_index,False,True,,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Immutable. The resource name of the ad parameter. Ad parameter resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adParameters/{ad_group_id}~{criterion_id}~{parameter_index}</code></td>",True,ad_parameter.resource_name,False,True,,False,N/A
ATTRIBUTE,INT64,<td>Output only. The ID of the bidding strategy.</td>,True,accessible_bidding_strategy.id,False,True,,True,N/A
ATTRIBUTE,DOUBLE,"<td>Output only. The target return on ad spend (ROAS) option. If set, the bid strategy will maximize revenue while averaging the target return on ad spend. If the target ROAS is high, the bid strategy may not be able to spend the full budget. If the target ROAS is not set, the bid strategy will aim to achieve the highest possible ROAS for the budget.</td>",True,accessible_bidding_strategy.maximize_conversion_value.target_roas,False,True,,True,N/A
ATTRIBUTE,INT64,<td>Output only. The target cost per acquisition (CPA) option. This is the average amount that you would like to spend per acquisition.</td>,True,accessible_bidding_strategy.maximize_conversions.target_cpa_micros,False,True,,True,N/A
ATTRIBUTE,STRING,<td>Output only. The name of the bidding strategy.</td>,True,accessible_bidding_strategy.name,False,True,,True,N/A
ATTRIBUTE,INT64,<td>Output only. The ID of the Customer which owns the bidding strategy.</td>,True,accessible_bidding_strategy.owner_customer_id,False,True,,True,N/A
ATTRIBUTE,STRING,<td>Output only. descriptive_name of the Customer which owns the bidding strategy.</td>,True,accessible_bidding_strategy.owner_descriptive_name,False,True,,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the accessible bidding strategy. AccessibleBiddingStrategy resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/accessibleBiddingStrategies/{bidding_strategy_id}</code></td>",True,accessible_bidding_strategy.resource_name,False,True,,False,N/A
ATTRIBUTE,INT64,<td>Output only. Average CPA target. This target should be greater than or equal to minimum billable unit based on the currency for the account.</td>,True,accessible_bidding_strategy.target_cpa.target_cpa_micros,False,True,,True,N/A
ATTRIBUTE,INT64,<td>Output only. The highest CPC bid the automated bidding system is permitted to specify. This is a required field entered by the advertiser that sets the ceiling and specified in local micros.</td>,True,accessible_bidding_strategy.target_impression_share.cpc_bid_ceiling_micros,False,True,,True,N/A
ATTRIBUTE,"ABSOLUTE_TOP_OF_PAGE,ANYWHERE_ON_PAGE,TOP_OF_PAGE,UNKNOWN,UNSPECIFIED",<td>Output only. The targeted location on the search results page.</td>,True,accessible_bidding_strategy.target_impression_share.location,False,True,,True,google.ads.googleads.v15.enums.TargetImpressionShareLocationEnum.TargetImpressionShareLocation
ATTRIBUTE,INT64,"<td>The chosen fraction of ads to be shown in the targeted location in micros. For example, 1% equals 10,000.</td>",True,accessible_bidding_strategy.target_impression_share.location_fraction_micros,False,True,,True,N/A
ATTRIBUTE,DOUBLE,<td>Output only. The chosen revenue (based on conversion data) per unit of spend.</td>,True,accessible_bidding_strategy.target_roas.target_roas,False,True,,True,N/A
ATTRIBUTE,INT64,<td>Output only. Maximum bid limit that can be set by the bid strategy. The limit applies to all keywords managed by the strategy.</td>,True,accessible_bidding_strategy.target_spend.cpc_bid_ceiling_micros,False,True,,True,N/A
ATTRIBUTE,INT64,"<td>Output only. The spend target under which to maximize clicks. A TargetSpend bidder will attempt to spend the smaller of this value or the natural throttling spend amount. If not specified, the budget is used as the spend target. This field is deprecated and should no longer be used. See <a href=""https://ads-developers.googleblog.com/2020/05/reminder-about-sunset-creation-of.html"">https://ads-developers.googleblog.com/2020/05/reminder-about-sunset-creation-of.html</a> for details.</td>",True,accessible_bidding_strategy.target_spend.target_spend_micros,False,True,,True,N/A
ATTRIBUTE,"COMMISSION,ENHANCED_CPC,INVALID,MANUAL_CPA,MANUAL_CPC,MANUAL_CPM,MANUAL_CPV,MAXIMIZE_CONVERSIONS,MAXIMIZE_CONVERSION_VALUE,PAGE_ONE_PROMOTED,PERCENT_CPC,TARGET_CPA,TARGET_CPM,TARGET_IMPRESSION_SHARE,TARGET_OUTRANK_SHARE,TARGET_ROAS,TARGET_SPEND,UNKNOWN,UNSPECIFIED",<td>Output only. The type of the bidding strategy.</td>,True,accessible_bidding_strategy.type,False,True,,True,google.ads.googleads.v15.enums.BiddingStrategyTypeEnum.BiddingStrategyType
ATTRIBUTE,INT64,<td>Output only. The ad group ID used in the share key encoding.</td>,True,android_privacy_shared_key_google_ad_group.ad_group_id,False,True,,True,N/A
ATTRIBUTE,DATE,"<td>Output only. The interaction date used in the shared key encoding in the format of ""YYYY-MM-DD"" in UTC timezone.</td>",True,android_privacy_shared_key_google_ad_group.android_privacy_interaction_date,False,True,,True,N/A
ATTRIBUTE,"CLICK,ENGAGED_VIEW,UNKNOWN,UNSPECIFIED,VIEW",<td>Output only. The interaction type enum used in the share key encoding.</td>,True,android_privacy_shared_key_google_ad_group.android_privacy_interaction_type,False,True,,True,google.ads.googleads.v15.enums.AndroidPrivacyInteractionTypeEnum.AndroidPrivacyInteractionType
ATTRIBUTE,"DISPLAY,SEARCH,UNKNOWN,UNSPECIFIED,YOUTUBE",<td>Output only. The network type enum used in the share key encoding.</td>,True,android_privacy_shared_key_google_ad_group.android_privacy_network_type,False,True,,True,google.ads.googleads.v15.enums.AndroidPrivacyNetworkTypeEnum.AndroidPrivacyNetworkType
ATTRIBUTE,INT64,<td>Output only. Ad group id of the simulation.</td>,True,ad_group_simulation.ad_group_id,False,True,,True,N/A
ATTRIBUTE,INT64,<td>Output only. The campaign ID used in the share key encoding.</td>,True,android_privacy_shared_key_google_ad_group.campaign_id,False,True,,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the Android privacy shared key. Android privacy shared key resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/androidPrivacySharedKeyGoogleAdGroups/{campaign_id}~{ad_group_id}~{android_privacy_interaction_type}~{android_privacy_network_type}~{android_privacy_interaction_date(yyyy-mm-dd)}</code></td>",True,android_privacy_shared_key_google_ad_group.resource_name,False,True,,False,N/A
