attribute_category,attribute_data_type,attribute_field_description,attribute_filterable,attribute_name,attribute_repeated,attribute_selectable,attribute_selectable_with,attribute_sortable,attribute_type_url
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the age range view. Age range view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/ageRangeViews/{ad_group_id}~{criterion_id}</code></td>",True,age_range_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,"AVERAGE,EXCELLENT,GOOD,NO_ADS,PENDING,POOR,UNKNOWN,UNSPECIFIED",<td>Output only. Overall ad strength of this asset group.</td>,True,asset_group.ad_strength,False,True,None,True,google.ads.googleads.v15.enums.AdStrengthEnum.AdStrength
ATTRIBUTE,RESOURCE_NAME,<td>Immutable. The campaign with which this asset group is associated. The asset which is linked to the asset group.</td>,True,asset_group.campaign,False,True,None,False,N/A
ATTRIBUTE,STRING,"<td>A list of final mobile URLs after all cross domain redirects. In performance max, by default, the urls are eligible for expansion unless opted out.</td>",True,asset_group.final_mobile_urls,True,True,None,False,N/A
ATTRIBUTE,STRING,"<td>A list of final URLs after all cross domain redirects. In performance max, by default, the urls are eligible for expansion unless opted out.</td>",True,asset_group.final_urls,True,True,None,False,N/A
ATTRIBUTE,INT64,<td>Output only. The ID of the asset group.</td>,True,asset_group.id,False,True,None,True,N/A
ATTRIBUTE,STRING,<td>Required. Name of the asset group. Required. It must have a minimum length of 1 and maximum length of 128. It must be unique under a campaign.</td>,True,asset_group.name,False,True,None,True,N/A
ATTRIBUTE,STRING,<td>First part of text that may appear appended to the url displayed in the ad.</td>,True,asset_group.path1,False,True,None,True,N/A
ATTRIBUTE,STRING,<td>Second part of text that may appear appended to the url displayed in the ad. This field can only be set when path1 is set.</td>,True,asset_group.path2,False,True,None,True,N/A
ATTRIBUTE,"AD_IMAGE,BOOK_ON_GOOGLE,BUSINESS_LOGO,BUSINESS_NAME,CALL,CALLOUT,CALL_TO_ACTION_SELECTION,DESCRIPTION,HEADLINE,HOTEL_CALLOUT,HOTEL_PROPERTY,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MANDATORY_AD_TEXT,MARKETING_IMAGE,MEDIA_BUNDLE,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,VIDEO,YOUTUBE_VIDEO",<td>Output only. The asset field type of the asset field type view.</td>,True,asset_field_type_view.field_type,False,True,None,True,google.ads.googleads.v15.enums.AssetFieldTypeEnum.AssetFieldType
ATTRIBUTE,"ELIGIBLE,LIMITED,NOT_ELIGIBLE,PAUSED,PENDING,REMOVED,UNKNOWN,UNSPECIFIED",<td>Output only. The primary status of the asset group. Provides insights into why an asset group is not serving or not serving optimally.</td>,True,asset_group.primary_status,False,True,None,False,google.ads.googleads.v15.enums.AssetGroupPrimaryStatusEnum.AssetGroupPrimaryStatus
ATTRIBUTE,"ASSET_GROUP_DISAPPROVED,ASSET_GROUP_LIMITED,ASSET_GROUP_PAUSED,ASSET_GROUP_REMOVED,ASSET_GROUP_UNDER_REVIEW,CAMPAIGN_ENDED,CAMPAIGN_PAUSED,CAMPAIGN_PENDING,CAMPAIGN_REMOVED,UNKNOWN,UNSPECIFIED",<td>Output only. Provides reasons into why an asset group is not serving or not serving optimally. It will be empty when the asset group is serving without issues.</td>,True,asset_group.primary_status_reasons,True,True,None,False,google.ads.googleads.v15.enums.AssetGroupPrimaryStatusReasonEnum.AssetGroupPrimaryStatusReason
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the asset field type view. Asset field type view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/assetFieldTypeViews/{field_type}</code></td>",True,asset_field_type_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Required. Immutable. The ad group to which the asset is linked.</td>,True,ad_group_asset.ad_group,False,True,None,False,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Immutable. The resource name of the asset group. Asset group resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/assetGroups/{asset_group_id}</code></td>",True,asset_group.resource_name,False,True,None,False,N/A
ATTRIBUTE,"ENABLED,PAUSED,REMOVED,UNKNOWN,UNSPECIFIED",<td>The status of the asset group.</td>,True,asset_group.status,False,True,None,True,google.ads.googleads.v15.enums.AssetGroupStatusEnum.AssetGroupStatus
ATTRIBUTE,RESOURCE_NAME,<td>Required. Immutable. The asset which is linked to the ad group.</td>,True,ad_group_asset.asset,False,True,None,False,N/A
ATTRIBUTE,"AD_IMAGE,BOOK_ON_GOOGLE,BUSINESS_LOGO,BUSINESS_NAME,CALL,CALLOUT,CALL_TO_ACTION_SELECTION,DESCRIPTION,HEADLINE,HOTEL_CALLOUT,HOTEL_PROPERTY,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MANDATORY_AD_TEXT,MARKETING_IMAGE,MEDIA_BUNDLE,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,VIDEO,YOUTUBE_VIDEO",<td>Required. Immutable. Role that the asset takes under the linked ad group.</td>,True,ad_group_asset.field_type,False,True,None,True,google.ads.googleads.v15.enums.AssetFieldTypeEnum.AssetFieldType
ATTRIBUTE,"ELIGIBLE,LIMITED,NOT_ELIGIBLE,PAUSED,PENDING,REMOVED,UNKNOWN,UNSPECIFIED","<td>Output only. Provides the PrimaryStatus of this asset link. Primary status is meant essentially to differentiate between the plain ""status"" field, which has advertiser set values of enabled, paused, or removed. The primary status takes into account other signals (for assets its mainly policy and quality approvals) to come up with a more comprehensive status to indicate its serving state.</td>",True,ad_group_asset.primary_status,False,True,None,True,google.ads.googleads.v15.enums.AssetLinkPrimaryStatusEnum.AssetLinkPrimaryStatus
ATTRIBUTE,MESSAGE,<td>Output only. Provides the details of the primary status and its associated reasons.</td>,False,ad_group_asset.primary_status_details,True,True,None,False,google.ads.googleads.v15.common.AssetLinkPrimaryStatusDetails
ATTRIBUTE,"OPTIMIZE,ROTATE_FOREVER,UNKNOWN,UNSPECIFIED",<td>The ad rotation mode of the ad group.</td>,True,ad_group.ad_rotation_mode,False,True,None,True,google.ads.googleads.v15.enums.AdGroupAdRotationModeEnum.AdGroupAdRotationMode
ATTRIBUTE,"ASSET_APPROVED_LABELED,ASSET_DISAPPROVED,ASSET_LINK_PAUSED,ASSET_LINK_REMOVED,ASSET_UNDER_REVIEW,UNKNOWN,UNSPECIFIED",<td>Output only. Provides a list of reasons for why an asset is not serving or not serving at full capacity.</td>,True,ad_group_asset.primary_status_reasons,True,True,None,False,google.ads.googleads.v15.enums.AssetLinkPrimaryStatusReasonEnum.AssetLinkPrimaryStatusReason
