attribute_category,attribute_data_type,attribute_field_description,attribute_filterable,attribute_name,attribute_repeated,attribute_selectable,attribute_selectable_with,attribute_sortable,attribute_type_url
ATTRIBUTE,RESOURCE_NAME,<td>Output only. The asset group associated with the listing group filter.</td>,True,asset_group_product_group_view.asset_group,False,True,None,False,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Output only. The resource name of the asset group listing group filter.</td>,True,asset_group_product_group_view.asset_group_listing_group_filter,False,True,None,False,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the asset group product group view. Asset group product group view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/assetGroupProductGroupViews/{asset_group_id}~{listing_group_filter_id}</code></td>",True,asset_group_product_group_view.resource_name,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the age range view. Age range view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/ageRangeViews/{ad_group_id}~{criterion_id}</code></td>",True,age_range_view.resource_name,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,"BUSINESS_PROFILE_DYNAMIC_LOCATION_GROUP,CHAIN_DYNAMIC_LOCATION_GROUP,DYNAMIC_CUSTOM,DYNAMIC_EDUCATION,DYNAMIC_FLIGHTS,DYNAMIC_HOTELS_AND_RENTALS,DYNAMIC_JOBS,DYNAMIC_LOCAL,DYNAMIC_REAL_ESTATE,DYNAMIC_TRAVEL,HOTEL_PROPERTY,LOCATION_SYNC,MERCHANT_CENTER_FEED,PAGE_FEED,STATIC_LOCATION_GROUP,UNKNOWN,UNSPECIFIED",<td>Output only. The asset set type of the asset set type view.</td>,True,asset_set_type_view.asset_set_type,False,True,None,True,google.ads.googleads.v14.enums.AssetSetTypeEnum.AssetSetType
ATTRIBUTE,"AD_IMAGE,BOOK_ON_GOOGLE,BUSINESS_LOGO,BUSINESS_NAME,CALL,CALLOUT,CALL_TO_ACTION_SELECTION,DESCRIPTION,HEADLINE,HOTEL_CALLOUT,HOTEL_PROPERTY,LANDSCAPE_LOGO,LEAD_FORM,LOGO,LONG_HEADLINE,MANDATORY_AD_TEXT,MARKETING_IMAGE,MEDIA_BUNDLE,MOBILE_APP,PORTRAIT_MARKETING_IMAGE,PRICE,PROMOTION,SITELINK,SQUARE_MARKETING_IMAGE,STRUCTURED_SNIPPET,UNKNOWN,UNSPECIFIED,VIDEO,YOUTUBE_VIDEO",<td>Output only. The asset field type of the asset field type view.</td>,True,asset_field_type_view.field_type,False,True,None,True,google.ads.googleads.v14.enums.AssetFieldTypeEnum.AssetFieldType
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the asset set type view. Asset set type view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/assetSetTypeViews/{asset_set_type}</code></td>",True,asset_set_type_view.resource_name,False,True,None,False,N/A
,,,,,,,None,,
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the asset field type view. Asset field type view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/assetFieldTypeViews/{field_type}</code></td>",True,asset_field_type_view.resource_name,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,"<td>ID of the campaign budget that this portfolio bidding strategy is aligned with. When a portfolio and a campaign budget are aligned, that means that they are attached to the same set of campaigns. After a bidding strategy is aligned with a campaign budget, campaigns that are added to the bidding strategy must also use the aligned campaign budget.</td>",True,bidding_strategy.aligned_campaign_budget_id,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>Output only. The number of campaigns attached to this bidding strategy. This field is read-only.</td>,True,bidding_strategy.campaign_count,False,True,None,True,N/A
ATTRIBUTE,STRING,"<td>Immutable. The currency used by the bidding strategy (ISO 4217 three-letter code). For bidding strategies in manager customers, this currency can be set on creation and defaults to the manager customer's currency. For serving customers, this field cannot be set; all strategies in a serving customer implicitly use the serving customer's currency. In all cases the effective_currency_code field returns the currency used by the strategy.</td>",True,bidding_strategy.currency_code,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,<td>Immutable. The asset which this asset set asset is linking to.</td>,True,asset_set_asset.asset,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,STRING,"<td>Output only. The currency used by the bidding strategy (ISO 4217 three-letter code). For bidding strategies in manager customers, this is the currency set by the advertiser when creating the strategy. For serving customers, this is the customer's currency_code. Bidding strategy metrics are reported in this currency. This field is read-only.</td>",True,bidding_strategy.effective_currency_code,False,True,None,True,N/A
ATTRIBUTE,MESSAGE,<td>A bidding strategy that raises bids for clicks that seem more likely to lead to a conversion and lowers them for clicks where they seem less likely.</td>,False,bidding_strategy.enhanced_cpc,False,True,None,False,google.ads.googleads.v14.common.EnhancedCpc
ATTRIBUTE,RESOURCE_NAME,<td>Immutable. The asset set which this asset set asset is linking to.</td>,True,asset_set_asset.asset_set,False,True,None,False,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Immutable. The resource name of the asset set asset. Asset set asset resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/assetSetAssets/{asset_set_id}~{asset_id}</code></td>",True,asset_set_asset.resource_name,False,True,None,False,N/A
