attributed_resource,description,list_attributes,list_metrics,list_segments,resource_name,segmenting_resource,with_metrics
customer,"<p>Represents a view of BiddingStrategies owned by and shared with the customer. In contrast to BiddingStrategy, this resource includes strategies owned by managers of the customer and shared with this customer - in addition to strategies owned by this customer. This resource does not provide metrics and only exposes a limited subset of the BiddingStrategy attributes.</p>","accessible_bidding_strategy.id,accessible_bidding_strategy.maximize_conversion_value.target_roas,accessible_bidding_strategy.maximize_conversions.target_cpa_micros,accessible_bidding_strategy.name,accessible_bidding_strategy.owner_customer_id,accessible_bidding_strategy.owner_descriptive_name,accessible_bidding_strategy.resource_name,accessible_bidding_strategy.target_cpa.target_cpa_micros,accessible_bidding_strategy.target_impression_share.cpc_bid_ceiling_micros,accessible_bidding_strategy.target_impression_share.location,accessible_bidding_strategy.target_impression_share.location_fraction_micros,accessible_bidding_strategy.target_roas.target_roas,accessible_bidding_strategy.target_spend.cpc_bid_ceiling_micros,accessible_bidding_strategy.target_spend.target_spend_micros,accessible_bidding_strategy.type",None,None,Accessible Bidding Strategy,None,0
"ad_group,ad_group_criterion,campaign,customer,label",<p>A relationship between an ad group criterion and a label.</p>,"ad_group_criterion_label.ad_group_criterion,ad_group_criterion_label.label,ad_group_criterion_label.resource_name",None,None,Ad Group Criterion Label,None,0
"ad_group,ad_group_ad,campaign,customer,label",<p>A relationship between an ad group ad and a label.</p>,"ad_group_ad_label.ad_group_ad,ad_group_ad_label.label,ad_group_ad_label.resource_name",None,None,Ad Group Ad Label,None,0
"ad_group,ad_group_criterion,campaign,customer","<p>An ad group criterion simulation. Supported combinations of advertising channel type, criterion type, simulation type, and simulation modification method are detailed below respectively. Hotel AdGroupCriterion simulation operations starting in V5. 1. DISPLAY - KEYWORD - CPC_BID - UNIFORM 2. SEARCH - KEYWORD - CPC_BID - UNIFORM 3. SHOPPING - LISTING_GROUP - CPC_BID - UNIFORM 4. HOTEL - LISTING_GROUP - CPC_BID - UNIFORM 5. HOTEL - LISTING_GROUP - PERCENT_CPC_BID - UNIFORM</p>","ad_group_criterion_simulation.ad_group_id,ad_group_criterion_simulation.cpc_bid_point_list.points,ad_group_criterion_simulation.criterion_id,ad_group_criterion_simulation.end_date,ad_group_criterion_simulation.modification_method,ad_group_criterion_simulation.percent_cpc_bid_point_list.points,ad_group_criterion_simulation.resource_name,ad_group_criterion_simulation.start_date,ad_group_criterion_simulation.type",None,None,Ad Group Criterion Simulation,None,0
"ad_group,ad_group_criterion,campaign,customer,customizer_attribute",<p>A customizer value for the associated CustomizerAttribute at the AdGroupCriterion level.</p>,"ad_group_criterion_customizer.ad_group_criterion,ad_group_criterion_customizer.customizer_attribute,ad_group_criterion_customizer.resource_name,ad_group_criterion_customizer.status,ad_group_criterion_customizer.value.string_value,ad_group_criterion_customizer.value.type",None,None,Ad Group Criterion Customizer,None,0
"ad_group,campaign,customer,language_constant,mobile_app_category_constant,topic_constant,user_interest,user_list",<p>An ad group criterion.</p>,"ad_group_criterion.ad_group,ad_group_criterion.age_range.type,ad_group_criterion.app_payment_model.type,ad_group_criterion.approval_status,ad_group_criterion.audience.audience,ad_group_criterion.bid_modifier,ad_group_criterion.combined_audience.combined_audience,ad_group_criterion.cpc_bid_micros,ad_group_criterion.cpm_bid_micros,ad_group_criterion.cpv_bid_micros,ad_group_criterion.criterion_id,ad_group_criterion.custom_affinity.custom_affinity,ad_group_criterion.custom_audience.custom_audience,ad_group_criterion.custom_intent.custom_intent,ad_group_criterion.disapproval_reasons,ad_group_criterion.display_name,ad_group_criterion.effective_cpc_bid_micros,ad_group_criterion.effective_cpc_bid_source,ad_group_criterion.effective_cpm_bid_micros,ad_group_criterion.effective_cpm_bid_source,ad_group_criterion.effective_cpv_bid_micros,ad_group_criterion.effective_cpv_bid_source,ad_group_criterion.effective_percent_cpc_bid_micros,ad_group_criterion.effective_percent_cpc_bid_source,ad_group_criterion.final_mobile_urls,ad_group_criterion.final_url_suffix,ad_group_criterion.final_urls,ad_group_criterion.gender.type,ad_group_criterion.income_range.type,ad_group_criterion.keyword.match_type,ad_group_criterion.keyword.text,ad_group_criterion.labels,ad_group_criterion.language.language_constant,ad_group_criterion.listing_group.case_value.activity_country.value,ad_group_criterion.listing_group.case_value.activity_id.value,ad_group_criterion.listing_group.case_value.activity_rating.value,ad_group_criterion.listing_group.case_value.hotel_city.city_criterion,ad_group_criterion.listing_group.case_value.hotel_class.value,ad_group_criterion.listing_group.case_value.hotel_country_region.country_region_criterion,ad_group_criterion.listing_group.case_value.hotel_id.value,ad_group_criterion.listing_group.case_value.hotel_state.state_criterion,ad_group_criterion.listing_group.case_value.product_bidding_category.id,ad_group_criterion.listing_group.case_value.product_bidding_category.level,ad_group_criterion.listing_group.case_value.product_brand.value,ad_group_criterion.listing_group.case_value.product_channel.channel,ad_group_criterion.listing_group.case_value.product_channel_exclusivity.channel_exclusivity,ad_group_criterion.listing_group.case_value.product_condition.condition,ad_group_criterion.listing_group.case_value.product_custom_attribute.index,ad_group_criterion.listing_group.case_value.product_custom_attribute.value,ad_group_criterion.listing_group.case_value.product_item_id.value,ad_group_criterion.listing_group.case_value.product_type.level,ad_group_criterion.listing_group.case_value.product_type.value,ad_group_criterion.listing_group.parent_ad_group_criterion,ad_group_criterion.listing_group.path,ad_group_criterion.listing_group.type,ad_group_criterion.location.geo_target_constant,ad_group_criterion.mobile_app_category.mobile_app_category_constant,ad_group_criterion.mobile_application.app_id,ad_group_criterion.mobile_application.name,ad_group_criterion.negative,ad_group_criterion.parental_status.type,ad_group_criterion.percent_cpc_bid_micros,ad_group_criterion.placement.url,ad_group_criterion.position_estimates.estimated_add_clicks_at_first_position_cpc,ad_group_criterion.position_estimates.estimated_add_cost_at_first_position_cpc,ad_group_criterion.position_estimates.first_page_cpc_micros,ad_group_criterion.position_estimates.first_position_cpc_micros,ad_group_criterion.position_estimates.top_of_page_cpc_micros,ad_group_criterion.quality_info.creative_quality_score,ad_group_criterion.quality_info.post_click_quality_score,ad_group_criterion.quality_info.quality_score,ad_group_criterion.quality_info.search_predicted_ctr,ad_group_criterion.resource_name,ad_group_criterion.status,ad_group_criterion.system_serving_status,ad_group_criterion.topic.path,ad_group_criterion.topic.topic_constant,ad_group_criterion.tracking_url_template,ad_group_criterion.type,ad_group_criterion.url_custom_parameters,ad_group_criterion.user_interest.user_interest_category,ad_group_criterion.user_list.user_list,ad_group_criterion.webpage.conditions,ad_group_criterion.webpage.coverage_percentage,ad_group_criterion.webpage.criterion_name,ad_group_criterion.webpage.sample.sample_urls,ad_group_criterion.youtube_channel.channel_id,ad_group_criterion.youtube_video.video_id",None,None,Ad Group Criterion,None,0
customer,<p>Represents the data sharing connection between a Google Ads account and another account</p>,"account_link.account_link_id,account_link.advertising_partner.customer,account_link.data_partner.data_partner_id,account_link.google_ads.customer,account_link.hotel_center.hotel_center_id,account_link.resource_name,account_link.status,account_link.third_party_app_analytics.app_analytics_provider_id,account_link.third_party_app_analytics.app_id,account_link.third_party_app_analytics.app_vendor,account_link.type",None,None,Account Link,None,0
"ad_group,asset_set,campaign,customer",<p>AdGroupAssetSet is the linkage between an ad group and an asset set. Creating an AdGroupAssetSet links an asset set with an ad group.</p>,"ad_group_asset_set.ad_group,ad_group_asset_set.asset_set,ad_group_asset_set.resource_name,ad_group_asset_set.status",None,None,Ad Group Asset Set,None,0
"ad_group,campaign,customer",<p>Represents an ad group bid modifier.</p>,"ad_group_bid_modifier.ad_group,ad_group_bid_modifier.base_ad_group,ad_group_bid_modifier.bid_modifier,ad_group_bid_modifier.bid_modifier_source,ad_group_bid_modifier.criterion_id,ad_group_bid_modifier.device.type,ad_group_bid_modifier.hotel_advance_booking_window.max_days,ad_group_bid_modifier.hotel_advance_booking_window.min_days,ad_group_bid_modifier.hotel_check_in_date_range.end_date,ad_group_bid_modifier.hotel_check_in_date_range.start_date,ad_group_bid_modifier.hotel_check_in_day.day_of_week,ad_group_bid_modifier.hotel_date_selection_type.type,ad_group_bid_modifier.hotel_length_of_stay.max_nights,ad_group_bid_modifier.hotel_length_of_stay.min_nights,ad_group_bid_modifier.resource_name",None,None,Ad Group Bid Modifier,None,0
"billing_setup,customer","<p>An account-level budget proposal. All fields prefixed with 'proposed' may not necessarily be applied directly. For example, proposed spending limits may be adjusted before their application. This is true if the 'proposed' field has an 'approved' counterpart, for example, spending limits. Note that the proposal type (proposal_type) changes which fields are required and which must remain empty.</p>","account_budget_proposal.account_budget,account_budget_proposal.approval_date_time,account_budget_proposal.approved_end_date_time,account_budget_proposal.approved_end_time_type,account_budget_proposal.approved_spending_limit_micros,account_budget_proposal.approved_spending_limit_type,account_budget_proposal.approved_start_date_time,account_budget_proposal.billing_setup,account_budget_proposal.creation_date_time,account_budget_proposal.id,account_budget_proposal.proposal_type,account_budget_proposal.proposed_end_date_time,account_budget_proposal.proposed_end_time_type,account_budget_proposal.proposed_name,account_budget_proposal.proposed_notes,account_budget_proposal.proposed_purchase_order_number,account_budget_proposal.proposed_spending_limit_micros,account_budget_proposal.proposed_spending_limit_type,account_budget_proposal.proposed_start_date_time,account_budget_proposal.resource_name,account_budget_proposal.status",None,None,Account Budget Proposal,None,0
