with_metrics,attributed_resource,description,list_attributes,list_metrics,list_segments,resource_name,segmenting_resource
0,"ad_group,asset_set,campaign,customer",AdGroupAssetSet is the linkage between an ad group and an asset set. Creating an AdGroupAssetSet links an asset set with an ad group.,"ad_group_asset_set.ad_group,ad_group_asset_set.asset_set,ad_group_asset_set.resource_name,ad_group_asset_set.status",None,None,ad_group_asset_set,None
0,customer,"Represents a view of BiddingStrategies owned by and shared with the customer. In contrast to BiddingStrategy, this resource includes strategies owned by managers of the customer and shared with this customer - in addition to strategies owned by this customer. This resource does not provide metrics and only exposes a limited subset of the BiddingStrategy attributes.","accessible_bidding_strategy.id,accessible_bidding_strategy.maximize_conversion_value.target_roas,accessible_bidding_strategy.maximize_conversions.target_cpa_micros,accessible_bidding_strategy.name,accessible_bidding_strategy.owner_customer_id,accessible_bidding_strategy.owner_descriptive_name,accessible_bidding_strategy.resource_name,accessible_bidding_strategy.target_cpa.target_cpa_micros,accessible_bidding_strategy.target_impression_share.cpc_bid_ceiling_micros,accessible_bidding_strategy.target_impression_share.location,accessible_bidding_strategy.target_impression_share.location_fraction_micros,accessible_bidding_strategy.target_roas.target_roas,accessible_bidding_strategy.target_spend.cpc_bid_ceiling_micros,accessible_bidding_strategy.target_spend.target_spend_micros,accessible_bidding_strategy.type",None,None,accessible_bidding_strategy,None
0,"ad_group,campaign,customer",Represents an ad group bid modifier.,"ad_group_bid_modifier.ad_group,ad_group_bid_modifier.base_ad_group,ad_group_bid_modifier.bid_modifier,ad_group_bid_modifier.bid_modifier_source,ad_group_bid_modifier.criterion_id,ad_group_bid_modifier.device.type,ad_group_bid_modifier.hotel_advance_booking_window.max_days,ad_group_bid_modifier.hotel_advance_booking_window.min_days,ad_group_bid_modifier.hotel_check_in_date_range.end_date,ad_group_bid_modifier.hotel_check_in_date_range.start_date,ad_group_bid_modifier.hotel_check_in_day.day_of_week,ad_group_bid_modifier.hotel_date_selection_type.type,ad_group_bid_modifier.hotel_length_of_stay.max_nights,ad_group_bid_modifier.hotel_length_of_stay.min_nights,ad_group_bid_modifier.resource_name",None,None,ad_group_bid_modifier,None
0,customer,Represents the data sharing connection between a Google Ads account and another account,"account_link.account_link_id,account_link.advertising_partner.customer,account_link.data_partner.data_partner_id,account_link.google_ads.customer,account_link.resource_name,account_link.status,account_link.third_party_app_analytics.app_analytics_provider_id,account_link.third_party_app_analytics.app_id,account_link.third_party_app_analytics.app_vendor,account_link.type",None,None,account_link,None
0,"ad_group,campaign,customer,language_constant,mobile_app_category_constant,topic_constant,user_interest,user_list",An ad group criterion.,"ad_group_criterion.ad_group,ad_group_criterion.age_range.type,ad_group_criterion.app_payment_model.type,ad_group_criterion.approval_status,ad_group_criterion.audience.audience,ad_group_criterion.bid_modifier,ad_group_criterion.combined_audience.combined_audience,ad_group_criterion.cpc_bid_micros,ad_group_criterion.cpm_bid_micros,ad_group_criterion.cpv_bid_micros,ad_group_criterion.criterion_id,ad_group_criterion.custom_affinity.custom_affinity,ad_group_criterion.custom_audience.custom_audience,ad_group_criterion.custom_intent.custom_intent,ad_group_criterion.disapproval_reasons,ad_group_criterion.display_name,ad_group_criterion.effective_cpc_bid_micros,ad_group_criterion.effective_cpc_bid_source,ad_group_criterion.effective_cpm_bid_micros,ad_group_criterion.effective_cpm_bid_source,ad_group_criterion.effective_cpv_bid_micros,ad_group_criterion.effective_cpv_bid_source,ad_group_criterion.effective_percent_cpc_bid_micros,ad_group_criterion.effective_percent_cpc_bid_source,ad_group_criterion.final_mobile_urls,ad_group_criterion.final_url_suffix,ad_group_criterion.final_urls,ad_group_criterion.gender.type,ad_group_criterion.income_range.type,ad_group_criterion.keyword.match_type,ad_group_criterion.keyword.text,ad_group_criterion.labels,ad_group_criterion.language.language_constant,ad_group_criterion.listing_group.case_value.activity_country.value,ad_group_criterion.listing_group.case_value.activity_id.value,ad_group_criterion.listing_group.case_value.activity_rating.value,ad_group_criterion.listing_group.case_value.hotel_city.city_criterion,ad_group_criterion.listing_group.case_value.hotel_class.value,ad_group_criterion.listing_group.case_value.hotel_country_region.country_region_criterion,ad_group_criterion.listing_group.case_value.hotel_id.value,ad_group_criterion.listing_group.case_value.hotel_state.state_criterion,ad_group_criterion.listing_group.case_value.product_brand.value,ad_group_criterion.listing_group.case_value.product_category.category_id,ad_group_criterion.listing_group.case_value.product_category.level,ad_group_criterion.listing_group.case_value.product_channel.channel,ad_group_criterion.listing_group.case_value.product_channel_exclusivity.channel_exclusivity,ad_group_criterion.listing_group.case_value.product_condition.condition,ad_group_criterion.listing_group.case_value.product_custom_attribute.index,ad_group_criterion.listing_group.case_value.product_custom_attribute.value,ad_group_criterion.listing_group.case_value.product_item_id.value,ad_group_criterion.listing_group.case_value.product_type.level,ad_group_criterion.listing_group.case_value.product_type.value,ad_group_criterion.listing_group.parent_ad_group_criterion,ad_group_criterion.listing_group.path,ad_group_criterion.listing_group.type,ad_group_criterion.location.geo_target_constant,ad_group_criterion.mobile_app_category.mobile_app_category_constant,ad_group_criterion.mobile_application.app_id,ad_group_criterion.mobile_application.name,ad_group_criterion.negative,ad_group_criterion.parental_status.type,ad_group_criterion.percent_cpc_bid_micros,ad_group_criterion.placement.url,ad_group_criterion.position_estimates.estimated_add_clicks_at_first_position_cpc,ad_group_criterion.position_estimates.estimated_add_cost_at_first_position_cpc,ad_group_criterion.position_estimates.first_page_cpc_micros,ad_group_criterion.position_estimates.first_position_cpc_micros,ad_group_criterion.position_estimates.top_of_page_cpc_micros,ad_group_criterion.quality_info.creative_quality_score,ad_group_criterion.quality_info.post_click_quality_score,ad_group_criterion.quality_info.quality_score,ad_group_criterion.quality_info.search_predicted_ctr,ad_group_criterion.resource_name,ad_group_criterion.status,ad_group_criterion.system_serving_status,ad_group_criterion.topic.path,ad_group_criterion.topic.topic_constant,ad_group_criterion.tracking_url_template,ad_group_criterion.type,ad_group_criterion.url_custom_parameters,ad_group_criterion.user_interest.user_interest_category,ad_group_criterion.user_list.user_list,ad_group_criterion.webpage.conditions,ad_group_criterion.webpage.coverage_percentage,ad_group_criterion.webpage.criterion_name,ad_group_criterion.webpage.sample.sample_urls,ad_group_criterion.youtube_channel.channel_id,ad_group_criterion.youtube_video.video_id",None,None,ad_group_criterion,None
0,"ad_group,ad_group_criterion,campaign,customer,label",A relationship between an ad group criterion and a label.,"ad_group_criterion_label.ad_group_criterion,ad_group_criterion_label.label,ad_group_criterion_label.resource_name",None,None,ad_group_criterion_label,None
0,"ad_group,ad_group_criterion,campaign,customer,customizer_attribute",A customizer value for the associated CustomizerAttribute at the AdGroupCriterion level.,"ad_group_criterion_customizer.ad_group_criterion,ad_group_criterion_customizer.customizer_attribute,ad_group_criterion_customizer.resource_name,ad_group_criterion_customizer.status,ad_group_criterion_customizer.value.string_value,ad_group_criterion_customizer.value.type",None,None,ad_group_criterion_customizer,None
0,"ad_group,ad_group_ad,campaign,customer,label",A relationship between an ad group ad and a label.,"ad_group_ad_label.ad_group_ad,ad_group_ad_label.label,ad_group_ad_label.resource_name",None,None,ad_group_ad_label,None
0,"billing_setup,customer","An account-level budget proposal. All fields prefixed with 'proposed' may not necessarily be applied directly. For example, proposed spending limits may be adjusted before their application. This is true if the 'proposed' field has an 'approved' counterpart, for example, spending limits. Note that the proposal type (proposal_type) changes which fields are required and which must remain empty.","account_budget_proposal.account_budget,account_budget_proposal.approval_date_time,account_budget_proposal.approved_end_date_time,account_budget_proposal.approved_end_time_type,account_budget_proposal.approved_spending_limit_micros,account_budget_proposal.approved_spending_limit_type,account_budget_proposal.approved_start_date_time,account_budget_proposal.billing_setup,account_budget_proposal.creation_date_time,account_budget_proposal.id,account_budget_proposal.proposal_type,account_budget_proposal.proposed_end_date_time,account_budget_proposal.proposed_end_time_type,account_budget_proposal.proposed_name,account_budget_proposal.proposed_notes,account_budget_proposal.proposed_purchase_order_number,account_budget_proposal.proposed_spending_limit_micros,account_budget_proposal.proposed_spending_limit_type,account_budget_proposal.proposed_start_date_time,account_budget_proposal.resource_name,account_budget_proposal.status",None,None,account_budget_proposal,None
0,"billing_setup,customer","An account-level budget. It contains information about the budget itself, as well as the most recently approved changes to the budget and proposed changes that are pending approval. The proposed changes that are pending approval, if any, are found in 'pending_proposal'. Effective details about the budget are found in fields prefixed 'approved_', 'adjusted_' and those without a prefix. Since some effective details may differ from what the user had originally requested (for example, spending limit), these differences are juxtaposed through 'proposed_', 'approved_', and possibly 'adjusted_' fields. This resource is mutated using AccountBudgetProposal and cannot be mutated directly. A budget may have at most one pending proposal at any given time. It is read through pending_proposal. Once approved, a budget may be subject to adjustments, such as credit adjustments. Adjustments create differences between the 'approved' and 'adjusted' fields, which would otherwise be identical.","account_budget.adjusted_spending_limit_micros,account_budget.adjusted_spending_limit_type,account_budget.amount_served_micros,account_budget.approved_end_date_time,account_budget.approved_end_time_type,account_budget.approved_spending_limit_micros,account_budget.approved_spending_limit_type,account_budget.approved_start_date_time,account_budget.billing_setup,account_budget.id,account_budget.name,account_budget.notes,account_budget.pending_proposal.account_budget_proposal,account_budget.pending_proposal.creation_date_time,account_budget.pending_proposal.end_date_time,account_budget.pending_proposal.end_time_type,account_budget.pending_proposal.name,account_budget.pending_proposal.notes,account_budget.pending_proposal.proposal_type,account_budget.pending_proposal.purchase_order_number,account_budget.pending_proposal.spending_limit_micros,account_budget.pending_proposal.spending_limit_type,account_budget.pending_proposal.start_date_time,account_budget.proposed_end_date_time,account_budget.proposed_end_time_type,account_budget.proposed_spending_limit_micros,account_budget.proposed_spending_limit_type,account_budget.proposed_start_date_time,account_budget.purchase_order_number,account_budget.resource_name,account_budget.status,account_budget.total_adjustments_micros",None,None,account_budget,None
