metric_category,metric_data_type,metric_field_description,metric_filterable,metric_name,metric_repeated,metric_selectable,metric_sortable,metric_type_url
METRIC,DOUBLE,<td>The percent of your ad impressions that are shown as the very first ad above the organic search results.</td>,True,metrics.absolute_top_impression_percentage,False,True,True,N/A
METRIC,DOUBLE,"<td>Average cost of viewable impressions (<code translate=""no"" dir=""ltr"">active_view_impressions</code>).</td>",True,metrics.active_view_cpm,False,True,True,N/A
METRIC,DOUBLE,<td>Active view measurable clicks divided by active view viewable impressions. This metric is reported only for the Display Network.</td>,True,metrics.active_view_ctr,False,True,True,N/A
METRIC,INT64,<td>A measurement of how often your ad has become viewable on a Display Network site.</td>,True,metrics.active_view_impressions,False,True,True,N/A
METRIC,DOUBLE,<td>The ratio of impressions that could be measured by Active View over the number of served impressions.</td>,True,metrics.active_view_measurability,False,True,True,N/A
METRIC,INT64,<td>The cost of the impressions you received that were measurable by Active View.</td>,True,metrics.active_view_measurable_cost_micros,False,True,True,N/A
METRIC,INT64,<td>The number of times your ads are appearing on placements in positions where they can be seen.</td>,True,metrics.active_view_measurable_impressions,False,True,True,N/A
METRIC,DOUBLE,<td>The percentage of time when your ad appeared on an Active View enabled site (measurable impressions) and was viewable (viewable impressions).</td>,True,metrics.active_view_viewability,False,True,True,N/A
METRIC,DOUBLE,<td>The total number of conversions. This includes all conversions regardless of the value of include_in_conversions_metric.</td>,True,metrics.all_conversions,False,True,True,N/A
METRIC,DOUBLE,"<td>The total number of conversions. This includes all conversions regardless of the value of include_in_conversions_metric. When this column is selected with date, the values in date column means the conversion date. Details for the by_conversion_date columns are available at <a href=""https://support.google.com/google-ads/answer/9549009"">https://support.google.com/google-ads/answer/9549009</a>.</td>",True,metrics.all_conversions_by_conversion_date,False,True,True,N/A
METRIC,DOUBLE,"<td>The number of times people clicked the ""Call"" button to call a store during or after clicking an ad. This number doesn't include whether or not calls were connected, or the duration of any calls. This metric applies to feed items only.</td>",True,metrics.all_conversions_from_click_to_call,False,True,True,N/A
METRIC,DOUBLE,"<td>The number of times people clicked a ""Get directions"" button to navigate to a store after clicking an ad. This metric applies to feed items only.</td>",True,metrics.all_conversions_from_directions,False,True,True,N/A
METRIC,DOUBLE,<td>All conversions from interactions (as oppose to view through conversions) divided by the number of ad interactions.</td>,True,metrics.all_conversions_from_interactions_rate,False,True,True,N/A
METRIC,DOUBLE,<td>The value of all conversions from interactions divided by the total number of interactions.</td>,True,metrics.all_conversions_from_interactions_value_per_interaction,False,True,True,N/A
METRIC,DOUBLE,<td>Number of call button clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.</td>,True,metrics.all_conversions_from_location_asset_click_to_call,False,True,True,N/A
METRIC,DOUBLE,<td>Number of driving directions clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.</td>,True,metrics.all_conversions_from_location_asset_directions,False,True,True,N/A
METRIC,DOUBLE,<td>Number of menu link clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.</td>,True,metrics.all_conversions_from_location_asset_menu,False,True,True,N/A
METRIC,DOUBLE,<td>Number of order clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.</td>,True,metrics.all_conversions_from_location_asset_order,False,True,True,N/A
METRIC,DOUBLE,<td>Number of other types of local action clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.</td>,True,metrics.all_conversions_from_location_asset_other_engagement,False,True,True,N/A
METRIC,DOUBLE,<td>Estimated number of visits to the store after a chargeable ad event (click or impression). This measure is coming from Asset based location.</td>,True,metrics.all_conversions_from_location_asset_store_visits,False,True,True,N/A
METRIC,DOUBLE,<td>Number of website URL clicks on any location surface after a chargeable ad event (click or impression). This measure is coming from Asset based location.</td>,True,metrics.all_conversions_from_location_asset_website,False,True,True,N/A
METRIC,DOUBLE,<td>The number of times people clicked a link to view a store's menu after clicking an ad. This metric applies to feed items only.</td>,True,metrics.all_conversions_from_menu,False,True,True,N/A
METRIC,DOUBLE,<td>The number of times people placed an order at a store after clicking an ad. This metric applies to feed items only.</td>,True,metrics.all_conversions_from_order,False,True,True,N/A
METRIC,DOUBLE,"<td>The number of other conversions (for example, posting a review or saving a location for a store) that occurred after people clicked an ad. This metric applies to feed items only.</td>",True,metrics.all_conversions_from_other_engagement,False,True,True,N/A
METRIC,DOUBLE,<td>Estimated number of times people visited a store after clicking an ad. This metric applies to feed items only.</td>,True,metrics.all_conversions_from_store_visit,False,True,True,N/A
METRIC,DOUBLE,<td>The number of times that people were taken to a store's URL after clicking an ad. This metric applies to feed items only.</td>,True,metrics.all_conversions_from_store_website,False,True,True,N/A
METRIC,DOUBLE,<td>The value of all conversions.</td>,True,metrics.all_conversions_value,False,True,True,N/A
METRIC,DOUBLE,"<td>The value of all conversions. When this column is selected with date, the values in date column means the conversion date. Details for the by_conversion_date columns are available at <a href=""https://support.google.com/google-ads/answer/9549009"">https://support.google.com/google-ads/answer/9549009</a>.</td>",True,metrics.all_conversions_value_by_conversion_date,False,True,True,N/A
METRIC,DOUBLE,<td>The value of all conversions divided by the total cost of ad interactions (such as clicks for text ads or views for video ads).</td>,True,metrics.all_conversions_value_per_cost,False,True,True,N/A
METRIC,DOUBLE,"<td>All of new customers' lifetime conversion value. If you have set up customer acquisition goal at either account level or campaign level, this will include the additional conversion value from new customers for both biddable and non-biddable conversions. If your campaign has adopted the customer acquisition goal and selected ""bid higher for new customers"", these values will be included in ""all_conversions_value"". See <a href=""https://support.google.com/google-ads/answer/12080169"">https://support.google.com/google-ads/answer/12080169</a> for more details.</td>",True,metrics.all_new_customer_lifetime_value,False,True,True,N/A
METRIC,DOUBLE,"<td>This metric is part of the Auction Insights report, and tells how often the ads of another participant showed as the very first ad above the organic search results. This percentage is computed only over the auctions that you appeared in the page. This metric is not publicly available.</td>",True,metrics.auction_insight_search_absolute_top_impression_percentage,False,True,True,N/A
METRIC,DOUBLE,"<td>This metric is part of the Auction Insights report, and tells the percentage of impressions that another participant obtained, over the total number of impressions that your ads were eligible for. Any value below 0.1 is reported as 0.0999. This metric is not publicly available.</td>",True,metrics.auction_insight_search_impression_share,False,True,True,N/A
METRIC,DOUBLE,"<td>This metric is part of the Auction Insights report, and tells the percentage of impressions that your ads outranked (showed above) another participant in the auction, compared to the total number of impressions that your ads were eligible for. Any value below 0.1 is reported as 0.0999. This metric is not publicly available.</td>",True,metrics.auction_insight_search_outranking_share,False,True,True,N/A
METRIC,DOUBLE,"<td>This metric is part of the Auction Insights report, and tells how often another participant's ad received an impression when your ad also received an impression. This metric is not publicly available.</td>",True,metrics.auction_insight_search_overlap_rate,False,True,True,N/A
METRIC,DOUBLE,"<td>This metric is part of the Auction Insights report, and tells how often another participant's ad was shown in a higher position than yours, when both of your ads were shown at the same page. This metric is not publicly available.</td>",True,metrics.auction_insight_search_position_above_rate,False,True,True,N/A
METRIC,DOUBLE,"<td>This metric is part of the Auction Insights report, and tells how often the ads of another participant showed above the organic search results. This percentage is computed only over the auctions that you appeared in the page. This metric is not publicly available.</td>",True,metrics.auction_insight_search_top_impression_percentage,False,True,True,N/A
METRIC,DOUBLE,"<td>Average cart size is the average number of products in each order attributed to your ads. How it works: You report conversions with cart data for completed purchases on your website. Average cart size is the total number of products sold divided by the total number of orders you received. Example: You received 2 orders, the first included 3 products and the second included 2. The average cart size is 2.5 products = (3+2)/2. This metric is only available if you report conversions with cart data.</td>",True,metrics.average_cart_size,False,True,True,N/A
METRIC,DOUBLE,<td>The average amount you pay per interaction. This amount is the total cost of your ads divided by the total number of interactions.</td>,True,metrics.average_cost,False,True,True,N/A
METRIC,DOUBLE,<td>The total cost of all clicks divided by the total number of clicks received.</td>,True,metrics.average_cpc,False,True,True,N/A
