attribute_filterable,attribute_repeated,attribute_selectable,attribute_sortable,attribute_field_description,attribute_category,attribute_data_type,attribute_name,attribute_type_url
True,False,True,True,Output only. The ID of the bidding strategy.,ATTRIBUTE,INT64,accessible_bidding_strategy.id,N/A
True,False,True,True,"Output only. The target return on ad spend (ROAS) option. If set, the bid strategy will maximize revenue while averaging the target return on ad spend. If the target ROAS is high, the bid strategy may not be able to spend the full budget. If the target ROAS is not set, the bid strategy will aim to achieve the highest possible ROAS for the budget.",ATTRIBUTE,DOUBLE,accessible_bidding_strategy.maximize_conversion_value.target_roas,N/A
True,False,True,True,Output only. The target cost per acquisition (CPA) option. This is the average amount that you would like to spend per acquisition.,ATTRIBUTE,INT64,accessible_bidding_strategy.maximize_conversions.target_cpa_micros,N/A
True,False,True,True,Output only. The name of the bidding strategy.,ATTRIBUTE,STRING,accessible_bidding_strategy.name,N/A
True,False,True,True,Output only. The ID of the Customer which owns the bidding strategy.,ATTRIBUTE,INT64,accessible_bidding_strategy.owner_customer_id,N/A
True,False,True,True,Output only. descriptive_name of the Customer which owns the bidding strategy.,ATTRIBUTE,STRING,accessible_bidding_strategy.owner_descriptive_name,N/A
True,False,True,False,Output only. The resource name of the accessible bidding strategy. AccessibleBiddingStrategy resource names have the form: customers/{customer_id}/accessibleBiddingStrategies/{bidding_strategy_id},ATTRIBUTE,RESOURCE_NAME,accessible_bidding_strategy.resource_name,N/A
True,False,True,True,Output only. Average CPA target. This target should be greater than or equal to minimum billable unit based on the currency for the account.,ATTRIBUTE,INT64,accessible_bidding_strategy.target_cpa.target_cpa_micros,N/A
True,False,True,True,Output only. The highest CPC bid the automated bidding system is permitted to specify. This is a required field entered by the advertiser that sets the ceiling and specified in local micros.,ATTRIBUTE,INT64,accessible_bidding_strategy.target_impression_share.cpc_bid_ceiling_micros,N/A
True,False,True,True,Output only. The targeted location on the search results page.,ATTRIBUTE,ENUM,accessible_bidding_strategy.target_impression_share.location,google.ads.googleads.v15.enums.TargetImpressionShareLocationEnum.TargetImpressionShareLocation
True,False,True,True,"The chosen fraction of ads to be shown in the targeted location in micros. For example, 1% equals 10,000.",ATTRIBUTE,INT64,accessible_bidding_strategy.target_impression_share.location_fraction_micros,N/A
True,False,True,True,Output only. The chosen revenue (based on conversion data) per unit of spend.,ATTRIBUTE,DOUBLE,accessible_bidding_strategy.target_roas.target_roas,N/A
True,False,True,True,Output only. Maximum bid limit that can be set by the bid strategy. The limit applies to all keywords managed by the strategy.,ATTRIBUTE,INT64,accessible_bidding_strategy.target_spend.cpc_bid_ceiling_micros,N/A
True,False,True,True,"Output only. The spend target under which to maximize clicks. A TargetSpend bidder will attempt to spend the smaller of this value or the natural throttling spend amount. If not specified, the budget is used as the spend target. This field is deprecated and should no longer be used. See https://ads-developers.googleblog.com/2020/05/reminder-about-sunset-creation-of.html for details.",ATTRIBUTE,INT64,accessible_bidding_strategy.target_spend.target_spend_micros,N/A
True,False,True,True,Output only. The type of the bidding strategy.,ATTRIBUTE,ENUM,accessible_bidding_strategy.type,google.ads.googleads.v15.enums.BiddingStrategyTypeEnum.BiddingStrategyType
True,False,True,False,Immutable. The resource name of the ad group. The linked extension feed items will serve under this ad group. AdGroup resource names have the form: customers/{customer_id}/adGroups/{ad_group_id},ATTRIBUTE,RESOURCE_NAME,ad_group_extension_setting.ad_group,N/A
True,False,True,True,The device for which the extensions will serve. Optional.,ATTRIBUTE,ENUM,ad_group_extension_setting.device,google.ads.googleads.v15.enums.ExtensionSettingDeviceEnum.ExtensionSettingDevice
